Date,Region,Category,Product,Units,Price,Discount,Revenue,Cost,Profit,Month,Profit Margin
2024-04-12,West,Electronics,Tablet,8,720,0.2,4608.0,2714.133473789687,1893.8665262103132,2024-04,0.41099533988939085
2024-08-02,East,Office Supplies,Notebook,4,891,0.1,3207.6,1780.686705975804,1426.913294024196,2024-08,0.44485387642604934
2024-09-14,West,Clothing,Jeans,6,405,0.15,2065.5,1230.7305037755668,834.7694962244332,2024-09,0.40414887253664156
2024-11-09,South,Electronics,Laptop,1,494,0.1,444.6,288.97454700615066,155.62545299384936,2024-11,0.35003475707118614
2024-07-06,West,Office Supplies,Pen,3,895,0.15,2282.25,1593.2470374463492,689.0029625536508,2024-07,0.30189635778448937
2024-05-10,North,Office Supplies,Printer,5,860,0.05,4085.0,3215.799354919967,869.2006450800332,2024-05,0.21277861568666662
2024-11-11,South,Furniture,Desk,9,365,0.2,2628.0,1597.0972434337518,1030.9027565662482,2024-11,0.3922765435944628
2024-04-01,East,Clothing,Jacket,8,54,0.0,432.0,265.54823801280185,166.45176198719815,2024-04,0.3853050045999957
2024-12-25,West,Furniture,Desk,6,585,0.05,3334.5,2307.2241857789404,1027.2758142210596,2024-12,0.30807491804500214
2024-07-09,South,Furniture,Desk,4,289,0.15,982.6,551.5400835208736,431.0599164791264,2024-07,0.43869317777236555
2024-10-22,North,Clothing,Shirt,2,898,0.2,1436.8000000000002,1001.0010187064546,435.7989812935456,2024-10,0.3033122085840378
2024-08-04,West,Clothing,Shirt,9,176,0.2,1267.2,720.5776439177514,546.6223560822486,2024-08,0.43136233908005733
2024-11-22,North,Clothing,Shirt,8,491,0.1,3535.2000000000003,2120.096916733686,1415.1030832663141,2024-11,0.4002893989777987
2024-06-11,East,Electronics,Tablet,5,509,0.05,2417.75,1399.7981046667207,1017.9518953332793,2024-06,0.4210327351187175
2024-05-14,North,Clothing,Jeans,1,67,0.2,53.6,39.256722789730055,14.343277210269946,2024-05,0.26759845541548405
2024-12-25,South,Office Supplies,Printer,1,758,0.2,606.4,480.83155366098816,125.56844633901181,2024-12,0.20707197615272396
2024-05-10,North,Electronics,Phone,7,786,0.1,4951.8,3370.60710613344,1581.19289386656,2024-05,0.3193167926545014
2024-01-15,South,Furniture,Chair,3,594,0.0,1782.0,1120.1455895695037,661.8544104304963,2024-01,0.3714110047309182
2024-04-05,West,Furniture,Chair,7,250,0.2,1400.0,958.9443819555855,441.0556180444145,2024-04,0.3150397271745818
2024-01-29,West,Electronics,Tablet,3,105,0.15,267.75,209.49413660368097,58.25586339631903,2024-01,0.21757558691435677
2024-02-14,South,Electronics,Laptop,6,815,0.15,4156.5,2513.0619193229422,1643.4380806770578,2024-02,0.3953898906957916
2024-12-05,South,Furniture,Sofa,7,367,0.0,2569.0,1617.1877318006796,951.8122681993204,2024-12,0.37049913125703404
2024-08-12,North,Electronics,Tablet,9,647,0.2,4658.400000000001,3564.526837260338,1093.8731627396623,2024-08,0.2348173541859141
2024-12-24,South,Clothing,Jacket,9,337,0.2,2426.4,1754.5516975512382,671.8483024487618,2024-12,0.2768909917774323
2024-08-21,West,Clothing,Jacket,6,691,0.0,4146.0,2698.876191301659,1447.1238086983408,2024-08,0.34904095723548983
2024-11-13,North,Furniture,Desk,7,405,0.1,2551.5,1595.247751874372,956.2522481256281,2024-11,0.37478042254580757
2024-04-22,West,Electronics,Tablet,1,21,0.05,19.95,13.022547103924678,6.927452896075321,2024-04,0.3472407466704422
2024-12-08,North,Clothing,Shirt,1,422,0.05,400.9,273.70791861296,127.19208138703999,2024-12,0.31726635417071586
2024-08-05,West,Furniture,Sofa,4,458,0.1,1648.8,1059.211566788511,589.588433211489,2024-08,0.35758638598464887
2024-09-11,South,Clothing,Shirt,4,629,0.1,2264.4,1707.6020834294934,556.7979165705067,2024-09,0.24589203169515397
